id,category,views,likes,comment_count,country
74,News & Politics,"1,105,761,772","16,044,768","6,938,468",United Kingdom
75,News & Politics,"1,136,850,419","14,765,782","5,155,686",United States
76,News & Politics,"1,147,845,115","19,595,245","6,370,383",Canada
77,Howto & Style,"35,942,405","299,137","22,398",India
78,Howto & Style,"99,763,166","2,381,492","356,784",Japan
79,Howto & Style,"441,452,779","13,854,617","1,565,258",France
80,Howto & Style,"457,867,450","24,118,687","3,627,577",Mexico
81,Howto & Style,"1,163,799,374","50,326,436","7,257,961",United Kingdom
82,Howto & Style,"1,502,495,060","48,098,813","7,203,051",Canada
83,Howto & Style,"3,905,496,716","157,752,724","22,661,071",United States
84,Education,"6,754,180","203,532","23,915",Japan
85,Education,"12,860,777","894,589","78,778",India
86,Education,"37,791,356","2,258,687","264,081",Mexico
87,Education,"76,141,177","5,195,384","510,116",France
88,Education,"155,372,543","4,963,654","826,476",United Kingdom
89,Education,"421,436,108","16,354,028","2,297,947",Canada
90,Education,"1,058,705,426","43,817,286","4,957,026",United States
91,Science & Technology,"20,312,884","1,302,365","794,285",India
92,Science & Technology,"171,321,003","3,295,429","551,882",Japan
93,Science & Technology,"192,022,117","4,823,116","835,377",Mexico
94,Science & Technology,"387,068,475","15,862,742","2,536,935",France
95,Science & Technology,"1,277,083,447","39,039,385","6,584,944",Canada
96,Science & Technology,"1,284,405,545","26,200,124","3,109,834",United Kingdom
97,Science & Technology,"2,927,667,306","71,269,423","10,477,005",United States
98,Nonprofits & Activism,"1,620,605","41,370","10,379",Japan
99,Nonprofits & Activism,"1,630,087","25,412","2,757",India
100,Nonprofits & Activism,"48,846,236","2,894,009","959,326",Mexico
101,Nonprofits & Activism,"57,326,955","5,778,882","1,798,849",France
102,Nonprofits & Activism,"112,214,859","10,015,452","3,170,106",Canada
103,Nonprofits & Activism,"163,328,101","14,449,869","4,731,246",United States
104,Nonprofits & Activism,"351,777,558","24,411,490","7,656,699",United Kingdom
105,Movies,"995,622","24,026","1,425",France
106,Movies,"17,120,490","252,905","13,979",Canada
107,Shows,"65,436",491,331,Mexico
108,Shows,"487,960","4,540",869,India
109,Shows,"537,313","3,088",726,France
110,Shows,"6,857,299","186,580","15,789",Canada
111,Shows,"28,583,283","836,738","80,957",United Kingdom
112,Shows,"51,501,058","1,082,639","95,117",United States
